Rt	TestRoute2				
100	Start	Start	48,52500	35,03400	1
2	67А00661@67А00002	, Україна, Дніпропетровська обл., Дніпро, Інженерна	48,4083	35,00322	7
3	67-10932@67-00001	, Україна, Дніпропетровська обл., Дніпро, Тополя-3	48,39878	35,03216	7
4	67А00993@67А00002	Україна, Дніпропетровська обл., Дніпро, Комбрига Петрова	48,39588	35,02668	7
5	67-16036@67А00002	, Україна, Дніпропетровська обл., Дніпро, Байкальська, 6/1 ряд	48,51842039	35,08662745	7
6	67-14404@67А00001	, Україна, Дніпропетровська обл., Дніпро, Теплична, 32	48,52958	35,08132	7
7	67А02193@96-01902	, Україна, Дніпропетровська обл., Дніпро, Янтарна, 69	48,52538	35,04444	7
9	67-11390@96-01678	, Україна, Дніпропетровська обл., Дніпро, Покровський, 4/З	48,48276367	34,91677967	7
